Title,Year,Release Date,Genres,Rating,Cast,Plot Overview,Runtime (mins),IMDb ID
Night Always Comes,2025,2025-08-15,"Thriller, Drama, Crime",6.0,Not Available,"Facing eviction in a city her family can no longer afford, a woman plunges into a desperate and increasingly dangerous all-night search to raise $25,000.",108,tt31567422
Stolen: Heist of the Century,2025,2025-08-07,"Documentary, Crime",6.8,Not Available,"Antwerp, 2003. A gang of thieves rob the impenetrable Diamond Center. Who was behind one of the world's biggest heists - and how did they pull it off?",96,tt37543886
The Pickup,2025,2025-07-27,"Action, Comedy, Crime",5.2,Not Available,A routine cash pickup takes a wild turn when mismatched armored truck drivers Russell and Travis are ambushed by ruthless criminals led by savvy mastermind Zoe.,94,tt30445556
Happy Gilmore 2,2025,2025-07-25,Comedy,6.3,Not Available,"Happy Gilmore isn't done with golf — not by a long shot. Since his retirement after his first Tour Championship win, Gilmore returns to finance his daughter's ballet classes.",118,tt31868189
Jurassic World Rebirth,2025,2025-07-01,"Science Fiction, Adventure, Action",6.2,Not Available,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",134,tt31036941
KPop Demon Hunters,2025,2025-06-20,"Animation, Fantasy, Comedy, Music, Family, Action",7.9,Not Available,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",96,tt14205554
28 Years Later,2025,2025-06-18,"Horror, Thriller, Science Fiction",6.7,Not Available,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",115,tt10548174
The Siege at Thorn High,2025,2025-04-17,"Action, Crime, Drama, Thriller",7.0,Not Available,"Edwin promised to his sister on her death bed to find her son she gave up long time ago. Edwin's quest brought him to become a substitute teacher in Duri High School, Jakarta, a school for juvenile delinquents. There he must face the most violent students to find his nephew. When he eventually finds the boy, a city-wide riot erupts and Edwin is trapped im the school with the cruel kids out for his blood.",118,tt33479839
Sinners,2025,2025-04-16,"Horror, Action, Thriller",7.8,Not Available,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",138,tt31193180
Snow White,2025,2025-03-12,"Family, Fantasy",2.3,Not Available,"Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom.",109,tt6208148
Mickey 17,2025,2025-02-28,"Science Fiction, Comedy, Adventure",6.9,Not Available,"Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.",137,tt12299608
Nosferatu,2024,2024-12-25,"Drama, Horror, Fantasy",7.0,Not Available,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",133,tt5040012
Gladiator II,2024,2024-11-13,"Action, Adventure, Drama",6.7,Not Available,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",148,tt9218128
Conclave,2024,2024-10-25,"Drama, Thriller",7.6,Not Available,"After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.",120,tt20215234
Anora,2024,2024-10-14,"Drama, Comedy, Romance",7.6,Not Available,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",139,tt28607951
Transformers One,2024,2024-09-11,"Animation, Science Fiction, Adventure, Family",7.8,Not Available,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",104,tt8864596
The Substance,2024,2024-09-07,"Drama, Horror, Science Fiction",7.1,Not Available,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",141,tt17526714
The Batman,2022,2022-03-01,"Crime, Mystery, Thriller",7.9,Not Available,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",177,tt1877830
My Octopus Teacher,2020,2020-09-04,Documentary,8.2,Not Available,"After years of swimming every day in the freezing ocean at the tip of Africa, Craig Foster meets an unlikely teacher: a young octopus who displays remarkable curiosity. Visiting her den and tracking her movements for months on end he eventually wins the animal’s trust and they develop a never-before-seen bond between human and wild animal.",85,tt12888462
The Rainmaker,1997,1997-11-18,"Drama, Crime, Thriller",7.3,Not Available,"When Rudy Baylor, a young attorney with no clients, goes to work for a seedy ambulance chaser, he wants to help the parents of a terminally ill boy in their suit against an insurance company. But to take on corporate America, Rudy and a scrappy paralegal must open their own law firm.",135,tt0119978
