Title,Year,Release Date,Genres,Rating,Cast,Plot Overview,Runtime (mins),IMDb ID
Night Always Comes,2025,2025-08-15,"Thriller, Drama, Crime",6.0,Not Available,"Facing eviction in a city her family can no longer afford, a woman plunges into a desperate and increasingly dangerous all-night search to raise $25,000.",108,tt31567422
Stolen: Heist of the Century,2025,2025-08-07,"Documentary, Crime",6.8,Not Available,"Antwerp, 2003. A gang of thieves rob the impenetrable Diamond Center. Who was behind one of the world's biggest heists - and how did they pull it off?",96,tt37543886
The Pickup,2025,2025-07-27,"Action, Comedy, Crime",5.2,Not Available,A routine cash pickup takes a wild turn when mismatched armored truck drivers Russell and Travis are ambushed by ruthless criminals led by savvy mastermind Zoe.,94,tt30445556
Happy Gilmore 2,2025,2025-07-25,Comedy,6.3,Not Available,"Happy Gilmore isn't done with golf — not by a long shot. Since his retirement after his first Tour Championship win, Gilmore returns to finance his daughter's ballet classes.",118,tt31868189
Jurassic World Rebirth,2025,2025-07-01,"Science Fiction, Adventure, Action",6.2,Not Available,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",134,tt31036941
28 Years Later,2025,2025-06-18,"Horror, Thriller, Science Fiction",6.7,Not Available,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",115,tt10548174
The Siege at Thorn High,2025,2025-04-17,"Action, Crime, Drama, Thriller",7.0,Not Available,"Edwin promised to his sister on her death bed to find her son she gave up long time ago. Edwin's quest brought him to become a substitute teacher in Duri High School, Jakarta, a school for juvenile delinquents. There he must face the most violent students to find his nephew. When he eventually finds the boy, a city-wide riot erupts and Edwin is trapped im the school with the cruel kids out for his blood.",118,tt33479839
Snow White,2025,2025-03-12,"Family, Fantasy",2.3,Not Available,"Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom.",109,tt6208148
Nosferatu,2024,2024-12-25,"Drama, Horror, Fantasy",7.0,Not Available,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",133,tt5040012
My Octopus Teacher,2020,2020-09-04,Documentary,8.2,Not Available,"After years of swimming every day in the freezing ocean at the tip of Africa, Craig Foster meets an unlikely teacher: a young octopus who displays remarkable curiosity. Visiting her den and tracking her movements for months on end he eventually wins the animal’s trust and they develop a never-before-seen bond between human and wild animal.",85,tt12888462
The Rainmaker,1997,1997-11-18,"Drama, Crime, Thriller",7.3,Not Available,"When Rudy Baylor, a young attorney with no clients, goes to work for a seedy ambulance chaser, he wants to help the parents of a terminally ill boy in their suit against an insurance company. But to take on corporate America, Rudy and a scrappy paralegal must open their own law firm.",135,tt0119978
