Title,Year,Release Date,Genres,Rating,Cast,Plot Overview,Runtime (mins),IMDb ID
Trainwreck: Poop Cruise,2025,2025-06-23,Documentary,5.9,Not Available,"An engine fire leaves 4,000 passengers stranded at sea without power and plumbing in this wild documentary about the infamous ""poop cruise"" of 2013.",55.0,tt36856455
KPop Demon Hunters,2025,2025-06-20,"Animation, Fantasy, Action, Comedy, Music",8.0,Not Available,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",96.0,tt14205554
Semi-Soeter,2025,2025-06-19,"Romance, Comedy",4.3,Not Available,Power couple Jaci and JP find themselves in a bumpy predicament when a new work pitch for a baby brand forces them to play the perfect pretend parents.,,tt10727696
Trainwreck: Mayor of Mayhem,2025,2025-06-16,Documentary,6.4,Not Available,Rob Ford scandalized Canadian politics as the brash yet beloved mayor of Toronto — until an infamous video of him smoking crack sparked his downfall.,50.0,tt36856306
Deep Cover,2025,2025-06-12,"Action, Comedy, Crime",6.9,Not Available,"Kat is an improv comedy teacher beginning to question if she’s missed her shot at success. When an undercover cop offers her the role of a lifetime, she recruits two of her students to infiltrate London’s gangland by impersonating dangerous criminals.",99.0,tt31121295
STRAW,2025,2025-06-05,"Thriller, Drama, Crime",6.7,Not Available,What will be her last straw? A devastatingly bad day pushes a hardworking single mother to the breaking point — and into a shocking act of desperation.,105.0,tt32550101
Ballerina,2025,2025-06-04,"Action, Thriller, Crime",7.4,Not Available,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.",125.0,tt7181546
Final Destination Bloodlines,2025,2025-05-14,"Horror, Mystery",7.1,Not Available,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",110.0,tt9619824
Sinners,2025,2025-04-16,"Horror, Thriller, Fantasy",7.9,Not Available,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",138.0,tt31193180
Warfare,2025,2025-04-09,"War, Action",7.5,Not Available,"A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.",95.0,tt31434639
Mickey 17,2025,2025-02-28,"Science Fiction, Comedy, Adventure",6.9,Not Available,"Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.",137.0,tt12299608
Gladiator II,2024,2024-11-13,"Action, Adventure, Drama",6.7,Not Available,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",148.0,tt9218128
Conclave,2024,2024-10-25,"Drama, Thriller",7.6,Not Available,"After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.",120.0,tt20215234
Anora,2024,2024-10-14,"Drama, Comedy, Romance",7.6,Not Available,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",139.0,tt28607951
Transformers One,2024,2024-09-11,"Animation, Science Fiction, Adventure, Family",7.8,Not Available,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",104.0,tt8864596
The Substance,2024,2024-09-07,"Horror, Science Fiction",7.1,Not Available,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",141.0,tt17526714
Alien: Romulus,2024,2024-08-13,"Horror, Science Fiction",7.3,Not Available,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",119.0,tt18412256
Deadpool & Wolverine,2024,2024-07-24,"Action, Comedy, Science Fiction",7.7,Not Available,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",128.0,tt6263850
The Batman,2022,2022-03-01,"Crime, Mystery, Thriller",7.9,Not Available,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",177.0,tt1877830
Countdown,2019,2019-10-24,"Horror, Thriller",5.6,Not Available,"A young nurse downloads an app that tells her she only has three days to live. With time ticking away and a mysterious figure haunting her, she must find a way to save her life before time runs out.",90.0,tt10039344
