DIAGNOSIS,PATHOLOGY GEATURES,Similar Disease 1,Similar Disease 2,Similar Disease 3,Similar Disease 4
Angiolymphoid Hyperplasia With Eosinophils,Circumscribed collection of  arborizing vessels with prominent endothelial cells. Moderate to dense intermixed inflammation with a predominance of eosinophils and admixed lymphocytes. Lymphoid folllicles may sometimes be seen.,Arthropod Bite,Epithelioid Angiosarcoma,Epithelioid Hemangioendothelioma,Pyogenic Granuloma
Cellular Blue Nevus,Spindled to oval melanocytes in dermis with admixed melanophages and variable pigment. Multilobular architecture (dumbbell) with rounded protuberances in lower border. Strongly positive with HMB45. No significant atypical features.,Melanoma Arising In Cellular Blue Nevus,Metastatic Melanoma,Melanoma Of Soft Parts,Deep Penetrating Nevus
Fibroosseous Pseudo-Tumor Of Digits,Irregular nodules of fibroblasts and benign bone in a fibrous to myxoid background. Bony trabeculae rimmed by osteoblasts.,Nodular Fasciitis,Chondroma,Subungal Osteochondroma,Extraskeletal Osteosarcoma
Ganglioneuroma,Composed of tight bundles of neurofibroma-like fibrous tissue with nerves and scattered ganglion cells.,Proliferative Fasciitis,Traumatic Neuroma,Spitz Nevus,
Hidroacanthoma Simplex,Discrete nests of small cuboidal cells within the epidermis with scattered ductal lumina.,Clonal Seborrheic Keratosis,Squamous Cell Carcinoma,Extramammary Paget's Disease,Superficial Spreading Melanoma In Situ
Large Cell Acanthoma,"Acanthotic epidermis with cells showing large nuclei, almost twice the size of normal keratinocytes. Occasional verrucous pattern with papillomatosis or hyperkeratotic pattern may be seen.",Lentigo Simplex,Pigmented Actinic Keratosis,Lentigo Maligna,Reticulated Seborrheic Keratosis
Lipidized Dermatofibroma,Poorly circumscribed proliferation in dermis of foamy histiocytes and spindle cells. Touton-like giant cells common. Collagen entrapment in periphery.,Xanthogranuloma,Fibrolipoma,Scar,
Angiolipoma,"Well circumscribed encapsulated subcutaneous nodules of mature adipose tissue. Increased blood vessels, clustered in periphery. Fibrin thrombi in some vessels.",Lipoma,Atypical Lipomatous Tumor,Spindle Cell Lipoma,Pleomorphic Lipoma
Dermatomyofibroma,Plaque like proliferation of horizontal fascicles of bland spindled cells with elongated vesicular nuclei. Spindle cells are Actin positive and spare adnexal structures.  Thick elastic fibers may be seen.,Dermatofibroma,Smooth Muscle Hamartoma,Scar,Pilar Leiomyoma
Fibrous Papule,"Mildly increased plump, spindled or stellate fibroblasts in an angiofibromatous stroma. Collagen fibers oriented perpendicular to surface and concentrated around adnexa in a concentric fashion.",Dermatofibroma,Intradermal Nevus,Pleomorphic Fibroma,Basal Cell Carcinoma
Fordyce Spots,Ectopic sebaceous glands near mucocutaneous junction in buccal mucosa or labia majora.,Sebaceous Adenoma,Sebaceoma,Fibrous Papule,
Nevus Flammeus,Increased number of dilated/ectatic thin walled vessels in region of the superficial venous plexus.,Spider Angioma,Cherry Hemangioma,Acquired Elastotic Hemangioma,
Dermal Duct Tumor,Well circumscribed dermal nodules composed of small squamoid cells with pale cytoplasm. Scattered ducts with cuticle.,Poroma,Hidradenoma,Nodular Basal Cell Carcinma,Spiradenoma
Combined Nevus,"Two or more population of nevus cells (common-banal, blue, Spitz, congenital).",Blue Nevus,Compound Nevus,Spitz Nevus,
Eccrine Angiomatous Hamartoma,Lobular proliferation in dermis  showing increased mature eccrine glands with admixed dilated thin walled vascular channels. Other hamartomatous elements may also be present.,Eccrine Nevus,Cherry Hemangioma,Connective Tissue Nevus,
Eccrine Nevus,Increased eccrine glands in dermis.,Nevus Sebaceus,Eccrine Angiomatous Hamartoma,Apocrine Nevus,Tubular Eccrine Adenoma
Encapsulated Fat Necrosis,"Sharply circumscribed round to oval nodule within collagenous capsule. Nodules show variable degree of membranous fat necrosis. Lipid laden macrophages, focal dystrophic calcification and chronic inflammation variable.",Lipoma,Fibrolipoma,Pyogenic Granuloma,
Dermatofibroma,Moderately cellular proliferation of bland fibroblasts with admixed xanthoma-like foamy histiocytes. Collagen trapping is characteristic. Overlying epidermis may show mild acanthosis with a table-top like proliferation. ,Dermatofibrosarcoma Protuberans,Xanthogranuloma,Scar,Nodular Fasciitis
Epidermolytic Acanthoma,Acanthotic epidermis with compact hyperkeratosis and irregularly shaped large keratohyaline granules in granular layer. Marked cytoplasmic vacuolization of cells above the basal layer with indistinct cell borders.,Myrmecial Wart,Bullous Ichthyosiform Erythroderma,Palmarplantar Keratoderma,
Folliculosebaceous Cystic Hamartoma,"Cystic infundibulum with radiating sebaceous lobules, vellus hairs in a fibrotic stroma. Abundant mature fat is often present in the dense spindle cell stroma within the lesion, sometimes with increased vessels and thickened nerves. The fibroepithelial lesion is separated from the adjacent mesenchymal proliferation by cleft like spaces.",Sebaceous Hyperplasia,Sebaceous Adenoma,Epidermal Inclusion Cyst,
Cylindroma,Islands of basaloid nests arranges as a jigsaw puzzle. Nests exhibit a biphasic cellular pattern-small basaloid cells in periphery and large pale cells in center.  Deeply eosinophilic basement membrane material present within the nodules as well as lining the nodules.,Spiradenoma,Nodular Basal Cell Carcinoma,Hidradenoma,Dermal Duct Tumor
Pilar Leiomyoma,"Intradermal proliferation in dermis separated by grenz zone. Interlacing fascicles of smooth muscles with cigar-shaped nuclei and ample eosinophilic cytoplasm. Tumor may orient around hair follicles. No significant atypia, mitosis.",Dermatofibroma,Dermatomyofibroma,Leiomyosarcoma,Neurofibroma
Desmoplastic Trichilemmoma,"Areas of classic trichilemmoma at surface. Central projection of pink, hyalinized stroma breaks the lobules into jagged lobules. Lacks significant nuclear atypia or mitotic activity.",Infiltrative Basal Cell Carcinoma,Well Differentiated Squamous Cell Carcinoma,Nodular Basal Cell Carcinma,
Rhinosporidiosis,"Pseudoepitheliomatous hyperplasia with dense mixed inflammatory infiltrate in dermis. Cyst-like, thick-walled structures with chitinous walls and up to 300 microns in diameter representing sporangia with many endospores within the stroma. Positive with PAS and GMS stain.",Coccidiodomycosis,Rhinoscleroma,Cryptococcus,
Nonbullous Congenital Ichthysiform Erythroderma,Moderate compact hyperkeratosis. Variable focal parakeratosis; can be confluent focally. Granular cell layer normal or focally diminished beneath areas of parakeratosis. Acanthosis and psoriasiform hyperplasia. Increased number of mitotic figures suggestive of increased turnover.,Lamellar Ichthyosis,Ichthyosis Vulgaris,Netherton Syndrome,
Unilateral Nevoid Telangiectasia,Dilated thin walled vessels in superficial and mid-dermis lined by flat endothelial cells.  One side of loop is dilated. The dilated vessels have been shown to be characteristic of venules on ultrastructural examination.,Ataxia Telangiectasia,Hereditary Benign Telangiectasia,Generalized Essential Telangiectasia,Hereditary Benign Telangiectasia
Dermatosis papulosa nigra,Polypoid lesion with epidermal acanthosis and basal layer hyperpigmentation.,Acrochordon,Intradermal Nevus,Seborrheic Keratosis,
Melanoma Of Soft Parts,"Multilobulated lesion with nests and fascicles of oval to fusiform cells, separated by fibrous trabeculae.  Clear to slightly eosinophilic cytoplasm, variable cytological atypia, mitosis. S100, HMB45 +.The characteristic reciprocal translocation t(12;22)(q13;q12) that results in fusion of the EWS and ATF1 genes helps confirm the diagnosis.",Metastatic Melanoma,Hidradenocarcinoma,Renal Cell Carcinoma,Melanoma arising in Cellular Blue Nevus
Hyperkeratosis Lenticularis Perstans,Sections show characteristic foci of angulated hyperkeratosis  and parakeratosis overlying an atrophic and mildly spongiotic epidermis. Scattered dyskeratotic cells are also noted below the foci of parakeratosis along with an inconspicuous granular layer. The dermis shows a mild lichenoid infiltrate.,Stucco Keratosis,Actinic Keratosis,Darier's Disease,Kyrle's Disease
Angiokeratoma Corporis Diffusum,Usually associated with syndromes. Acanthotic epidermis with hyperkeratosis. Intermixed dilated vessels surrounded by the epidermis giving appearance of intraepidermal vessels.,Verrucous Hemangioma,Cavernous Hemangioma,Venous Lake,Lymphangioma
Angiomyolipoma,"Three components-mature adipose tissue, admixed vessels with thick walls and smooth muscle component. Smooth muscles may be in clusters around blood vessels or form spindle cell fascicles.",Spindle Cell Lipoma,Pleomorphic Lipoma,Angioleiomyoma,Angiolipoma
Acquired Ichthyosis,Compact hyperkeratosis and/or parakeratosis. Diminished granular layer. Normal or atrophic epidermis.,Ichthyosis Vulgaris,X-Linked Ichthyosis,Lamellar Ichthyosis,Nummular Eczema
Acanthosis Nigricans,"Hyperkeratosis, papillomatosis with mild acanthosis of epidermis. Mild hyperpigmentation of basal layer.",Confluent And Reticulated Papillomatosis,Seborrheic Keratosis,Stucco Keratosis,Verruca Vulgaris
Ichthyosis Vulgaris,Mild to moderate compact hyperkeratosis. Diminished/absent granular layer. Follicular plugging. Mild to subtle superficial perivascular lymphocytic infiltrate.,X-Linked Ichthyosis,Lamellar Ichthyosis,Acquired Ichthyosis,
Pityriasis Rotunda,Variant of Acquired Ichthyosis. Compact orthohyperkeratosis and/or focal parakeratosis. Diminished granular layer. Subtle epidermal atrophy with diminished rete ridge pattern. Mild superficial perivascular lymphocytic infiltrate.,Psoriasis,Tinea Versicolor,Dermatophytosis,
Eruptive Xanthoma,"Mixed dermal infiltrate of lymphocytes, neutrophils, eosinophils with scattered foam cells. Intracellular and extracellular lipid. Extracellular lipid in form of lace like eosinophilic material between collagen fibers.",Tendinous Xanthoma,Tuberous Xanthoma,Granuloma Annulare,Xanthalesma
Plane Xanthoma,Small groups of foam cells in upper dermis and around pilosebaceous units. Admixed mild lymphocytic infiltrate. Fibroblasts in late lesions.,Necrobiotic Xanthogranuloma,Eruptive Xanthoma,Xanthelasma,
