ID,Statement,Truth,Reference
34,Alliance with the vanara (monkey) army was instrumental in Rama’s victory over Lanka.,TRUE,"Yuddha Kanda, Chapter 128, Verse 106"
61,Bharata accepted the throne without any longing for Rama’s return.,FALSE,
63,Bharata declared war on Rama immediately after his exile.,FALSE,
64,Bharata was the youngest of Rama’s brothers.,FALSE,
62,Dasaratha wanted Lakshmana to become the kind of Ayodhya.,FALSE,
74,Dasaratha was still alive when Rama returned to Ayodhya after the exile.,FALSE,
50,Dasharatha performs a Putrakameshti yajna to beget sons.,TRUE,"Bala Kanda, Chapter 16, Verse 12"
35,Demoness Shurpanakha played a pivotal role in inciting the conflict between Rama and Ravana.,TRUE,"Aranya Kanda, Chapter 33, Verse 12"
55,Demoness Simhika tries to capture Hanuman during his flight but is killed by him.,TRUE,"Sundara Kanda, Chapter 16, Verse 18"
88,Dushana was the king of monkeys allied to Ravana.,FALSE,
65,Hanuman betrayed Rama by divulging his battle plans to Ravana.,FALSE,
47,"Hanuman is born to Anjana and Kesari with blessings from the wind god, Vayu.",TRUE,"Bala Kanda, Chapter 39, Verse 8"
66,"Hanuman married Surasa, the serpent goddess.",FALSE,
67,Hanuman never meets Sita in the entire epic.,FALSE,
68,Hanuman was defeated by Sita in a contest of strength during their first meeting.,FALSE,
53,Hanuman was taught the scriptures by Sage Surasa during his journey to Lanka.,TRUE,"Sundara Kanda, Chapter 14, Verse 9"
69,Hanuman’s leap to Lanka was achieved by riding a golden chariot rather than by his own power.,FALSE,
98,Jatayu survived after fighting Ravana and later guided Rama to Sita.,FALSE,
43,Jatayu tries to rescue Sita from Ravana and is mortally wounded.,TRUE,"Aranya Kanda, Chapter 32, Verse 10"
46,Kumbhakarna sleeps for six months at a time.,TRUE,"Yuddha Kanda, Chapter 20, Verse 15"
95,Kumbhakarna was Ravana’s father.,FALSE,
70,Lakshmana betrayed Rama by siding with Ravana during the war.,FALSE,
71,Lakshmana is famous for his love of music and poetry rather than his loyalty to Rama.,FALSE,
72,Lakshmana refused to accompany Rama into exile and stayed in Ayodhya.,FALSE,
73,Lakshmana was not related to Rama but was merely an adopted son with no real bond.,FALSE,
100,Malyavan was Ravana’s son who betrayed him.,FALSE,
60,"Malyavan, a rakshasa commander, advised Ravana to return Sita to avoid disaster.",TRUE,"Yuddha Kanda, Chapter 111, Verse 18"
58,"Mandavi, Bharata’s wife, is the daughter of King Kushadhvaja.",TRUE,"Bala Kanda, Chapter 50, Verse 18"
21,"Mandodari, Ravana’s queen, is portrayed as a noble and wise figure despite her husband’s deeds.",TRUE,"Yuddha Kanda, Chapter 111, Verse 1–26"
22,Rama breaks Shiva’s bow to win Sita’s hand in marriage.,TRUE,"Bala Kanda, Chapter 67, Verse 16-17"
54,Rama is described as having a golden complexion in his youth.,TRUE,"Bala Kanda, Chapter 14, Verse 12"
75,Rama is frequently depicted riding a tiger instead of driving a chariot.,FALSE,
76,Rama is known for his uncontrollable temper and unruly behavior.,FALSE,
23,"Rama is often depicted holding a bow and arrow, representing his warrior spirit.",TRUE,"Bala Kanda, Chapter 1, Verse 12-13"
42,Rama kills the demoness Tataka in the forest.,TRUE,"Aranya Kanda, Chapter 8, Verse 29"
78,Rama refused to go into exile despite his father’s explicit orders.,FALSE,
57,Rama uses the Brahmastra to kill Ravana.,TRUE,"Yuddha Kanda, Chapter 64, Verse 12"
79,Rama was born in Lanka and later moved to Ayodhya.,FALSE,
24,Rama’s departure for exile brought great sorrow to the people of Ayodhya.,TRUE,"Ayodhya Kanda, Chapter 30, Verse 1–20"
25,"Rama’s exile lasted for fourteen years, as decreed by his stepmother Kaikeyi.",TRUE,"Ayodhya Kanda, Chapter 11, Verse 26"
81,Rama’s journey to Lanka was undertaken in a hot air balloon instead of by a constructed bridge.,FALSE,
26,"Rama’s reign is idealized as an era of peace and prosperity, often referred to as Rama Rajya.",TRUE,"Yuddha Kanda, Chapter 128, Verse 98–106"
27,Rama’s victory over Ravana symbolizes the triumph of dharma (righteousness) over adharma (unrighteousness).,TRUE,"Yuddha Kanda, Chapter 108, Verse 18-20"
36,Ramayana emphasizes the importance of following dharma over personal desires.,TRUE,"Ayodhya Kanda, Chapter 19, Verse 25–30"
28,"Ramayana is traditionally divided into six books, known as Kandas.",TRUE,
37,"Ramayana was composed by the sage Valmiki, earning him the title of Adikavi (the first poet).",TRUE,"Balakanda Chapter 1, Verse 2-3"
29,Ravana is depicted as both a formidable warrior and a learned scholar in the Ramayana.,TRUE,"Uttara Kanda, Chapter 10, Verse 11-17"
82,Ravana is portrayed as a kind and gentle ruler throughout the Ramayana.,FALSE,
