id,apiname,url,title,summary,published,imageurl,source,score,adverb_count,adjective_count,noun_count,pronoun_count,verb_count
1,Newsdata,https://www.boorowanewsonline.com.au/story/8715077/olympics-2024-australias-women-shine-us-medal-count-under-fire/?src=rss,Fool's gold: countries fudge results to hit the top of medal tally,Everyone is doing their best to boost their medal tally.,2024-08-02 04:28:00,https://www.boorowanewsonline.com.au/images/transform/v1/crop/frm/187052684/7c7ad002-9164-4f11-905e-a482199f6944.jpg/r1_0_1199_675_w600_h338_fmax.jpg,boorowanewsonline,0.9999999986752899,2,1,15,3,7
2,Newsdata,https://www.chip.de/news/Wichtige-Umstellung-ab-sofort-Was-sich-fuer-PayPal-Kunden-jetzt-aendert_185361706.html,PayPal-Kunden aufgepasst: Was sich jetzt in dem Bezahldienst ändert,"Ab sofort gilt bei PayPal eine wichtige Änderung. Erfahren Sie hier, was das bedeutet und wer davon betroffen ist.",2024-08-02 04:28:00,https://www.chip.de/ii/1/2/6/9/4/6/0/4/2/payPal_Umstellung_2-834b7369432decb8.jpg,chip,0.9999999999999962,0,0,0,0,0
3,Newsdata,https://www.chosun.com/entertainments/music/2024/08/02/7U7BIGEPF5OWBAEWQ5YUAMGYYY/,"""K팝 차세대 보이밴드""...TWS, 美 '아이하트라디오 라이브'출연",[OSEN=선미경 기자] 그룹 TWS(투어스)가 미국 팬들과 잇단 만남을 통해 ‘글로벌 핫 루키’로서 활약을 이어가고 있다. TWS(신유·도훈·영재·한진·지훈·경민)는 지난달 30일(현지시각) 미국 로스앤젤레스 아이하트라디오 씨어터에서 진행된 ‘아이하트라디오 라이브(iHeartRadio LIVE with TWS)’에 출연했다. ‘아이하트라디오 라이브’는,2024-08-02 04:28:00,https://www.chosun.com/resizer/v2/P7I2SS7OLKGWYYBXPSPI6LFBV4.jpg?auth=f0b0b8d28e538cf622f2fe48c802bb9d514c5b06dd54a2b521f5076ff52ef50b&height=432&smart=true&width=650,chosun,0.9999999999999962,0,0,0,0,0
4,Newsdata,https://www.bola.net/champions/10-pemain-nomor-punggung-15-terbaik-dunia-lionel-messi-sergio-ramos-hingga-nemanja-vidic-427b3f.html,"10 Pemain Nomor Punggung 15 Terbaik Dunia: Lionel Messi, Sergio Ramos, hingga Nemanja Vidic","Tahun ini Bola.net berulang tahun ke-15. Angka 15 melekat dengan identitas sederet pemain top dunia, beberapa dari mereka sukses mencatatkan prestasi gemilang dalam kariernya.",2024-08-02 04:28:00,https://cdns.klimg.com/bola.net/library/upload/21/2024/08/25-tahun_f3e2766.jpg,bola,0.9999999999999962,0,0,0,0,0
5,Newsdata,https://giadinh.suckhoedoisong.vn/mot-nguoi-dan-ong-o-quang-tri-bi-chem-trong-thuong-172240802111708676.htm,Một người đàn ông ở Quảng Trị bị chém trọng thương,"GĐXH - Sau khi đến nhà ông K., Hai đã dùng rựa chém nạn nhân khiến ông này bị thương và phải đi cấp cứu. Hiện Công an tỉnh Quảng Trị đã bắt giữ đối tượng.",2024-08-02 04:28:00,https://giadinh.mediacdn.vn/zoom/700_438/296230595582509056/2024/8/2/nguoi-dan-ong-bi-chem-trong-thuong-1722572009145947840076-45-0-1645-2560-crop-17225720489711196974905.jpeg,giadinhsuckhoedoisong,1.361298048021306e-15,0,9,49,0,4
6,Newsdata,https://www.jpost.com/breaking-news/article-813013,Shas minister denounces protesters against rabbi supporting IDF haredi draft,,2024-08-02 04:28:00,"https://images.jpost.com/image/upload/q_auto/c_fill,g_faces:center,h_537,w_822/534687",jpost,1.8221375656495509e-13,1,8,43,3,21
7,Newsdata,https://www.ettoday.net/news/20240802/2789462.htm,奧運夢碎!香港選手稱鐵三服被「對手扯爛」 他崩潰:被迫退賽,"香港鐵人三項選手伍泰龍7月31日稱在奧運比賽中,遭「對手扯爛鐵三服」導致自己不得不在中途退賽。他在賽後哭訴,「整件鐵三服不停入水,像降落傘一樣,我準備了4年,但奧林匹克夢2分鐘就被破壞了」。 《詳全文...》",2024-08-02 04:28:00,https://cdn2.ettoday.net/images/7778/c7778709.jpg,ettoday,0.9999999999999962,0,0,0,0,0
8,Newsdata,https://www.rainews.it/video/2024/08/larrivo-di-evan-gershkovich-negli-stati-uniti-labbraccio-con-joe-biden-e-kamala-harris-scambio-di-prigionieri-529d644a-1407-4189-90fc-9bc36b957ef7.html,L'arrivo di Evan Gershkovich negli Stati Uniti: l'abbraccio con Joe Biden e Kamala Harris,Il presidente americano e la vicepresidente hanno accolto il giornalista e gli altri due americani che sono tornati sul suolo Usa dopo essere stati liberati dalla Russia in uno storico scambio di prigionieri,2024-08-02 04:28:00,https://www.rainews.it/dl/img/2024/08/02/1722572994699_Usa_larrivo_dei_prigionieri_liberati__agosto_.jpg,rainews,0.9999999999999962,0,0,0,0,0
9,Newsdata,https://www.cbsnews.com/video/biden-harris-speak-on-u-s-russia-prisoner-swap/,"Biden, Harris speak on U.S., Russia prisoner swap","President Biden and Vice President Kamala Harris spoke to reporters on the tarmac of Joint Base Andrews in Maryland after welcoming home three Americans released as part of the prisoner swap with Russia. Mr. Biden said that ""the toughest call on this one was for other countries, because I asked them to do some things that were against their immediate self-interest.""",2024-08-02 04:28:00,https://assets3.cbsnewsstatic.com/hub/i/r/2024/08/02/0f053536-a7c4-459b-a294-1304c44aa7d9/thumbnail/60x60/2d11b8810ea1a183c1f84a720e7026e6/cbsn-fusion-biden-harris-speak-on-u-s-russia-prisoner-swap-thumbnail.jpg?v=d7dedd293aad546f97f947149642d369,cbsnews,0.0031661395125001084,0,3,26,3,8
10,Newsdata,https://www.elporvenir.mx/nacional/damos-seguimiento-a-resultado-electoral-en-venezuela-dice-canciller/756446,"Damos seguimiento a resultado electoral en Venezuela, dice canciller",La canciller Bárcena presentó información del seguimiento que se hace del proceso electoral venezolano.,2024-08-02 15:04:00,https://elporvenir.blob.core.windows.net.optimalcdn.com/images/2024/08/02/barcena-focus-min0.05-0.27-360-276.jpg,elporvenir_mx,0.9999999999999962,0,0,0,0,0
11,Newsdata,https://e-noticies.cat/consum/novetat-mercadona-encantara-mascota-cuida-protegeix-salut,La novetat de Mercadona que encantarà a la teva mascota: cuida i protegeix la salut,"Així, Mercadona ofereix una nova alternativa que ajudarà a millorar la salut de la nostra mascota",2024-08-02 15:04:00,https://e-noticies.cat/filesedc/uploads/image/post/mercadona-gato-snack-nuevo_1600_1067.jpg,enoticies,8.523913564978716e-08,3,74,273,0,47
12,Newsdata,https://www.spiegel.de/sport/olympia/olympia-2024-lorian-unruh-und-michelle-kroppen-holen-silber-im-bogenschiessen-a-3bba2302-f7ba-4ce4-a742-7503e86e3aa8,Olympia 2024: Florian Unruh und Michelle Kroppen holen Silber im Bogenschießen,Silber-Coup für Florian Unruh und Michelle Kroppen: Das deutsche Mixed-Team im Bogenschießen musste sich im Finale nur den Favoriten aus Südkorea geschlagen geben.,2024-08-02 15:04:00,https://cdn.prod.www.spiegel.de/images/f4a70c99-0dee-4e3d-a010-bd32dab4d570_w520_r2.08_fpx64_fpy7.jpg,spiegel,7.581320161276514e-41,0,2,36,1,8
13,Newsdata,https://hindi.theprint.in/india/economy/ola-electric-mobility-ipo-subscribed-35-on-day-one/714784/,ओला इलेक्ट्रिक मोबिलिटी के आईपीओ को पहले दिन 35 प्रतिशत अभिदान मिला,"नयी दिल्ली, दो अगस्त (भाषा) इलेक्ट्रिक दोपहिया वाहन बनाने वाली कंपनी ओला इलेक्ट्रिक मोबिलिटी के 6,145 करोड़ रुपये के आरंभिक सार्वजनिक निर्गम (आईपीओ) को पेशकश के पहले दिन शुक्रवार को सिर्फ 35 प्रतिशत अभिदान मिला। नेशनल स्टॉक एक्सचेंज (एनएसई) पर शाम पांच बजे तक उपलब्ध आंकड़ों के मुताबिक, इस निर्गम के तहत की गई 46.51 [...]",2024-08-02 15:04:00,https://statichindi.theprint.in/wp-content/plugins/gumlet/assets/images/pixel.png,theprint_hi,0.9999999999999962,0,0,0,0,0
14,Newsdata,https://slobodnadalmacija.hr/split-i-zupanija/zagora/znate-li-odakle-potjece-izraz-pijan-k-o-majka-sinjani-su-dali-urnebesne-odgovore-to-su-majke-radale-pijanace-1408615,Znate li odakle potječe izraz ‘pijan k‘o majka‘? Sinjani su dali urnebesne odgovore: ‘To su majke rađale pijance!‘,"Hrvatska zauzima visoko mjesto u Europi kada je riječ o postotku ljudi koji konzumiraju alkohol u svakoj mogućoj prilici. Pije se kad se slavi i kad se tuguje, a potoci alkohola teku na vjenčanjima, utakmicama, rođendanima, blagdanima i svim drugim feštama. Sigurno ste čuli da se u narodnom govoru k...",2024-08-02 15:04:00,https://static.slobodnadalmacija.hr/images/slike/2024/08/01/27715605.png,slobodnadalmacija,0.9999999999999962,0,0,0,0,0
15,Newsdata,https://news.sbs.co.kr/news/endPage.do?news_id=N1007748556,"[속보] 임시현·김우진, 양궁 혼성전 금메달...올림픽 2관왕 등극","임시현·김우진, 양궁 혼성전 금메달...올림픽 2관왕 등극(SBS 디지털뉴스편집부 / 사진=연합뉴스)",2024-08-02 15:04:00,https://img.sbs.co.kr/newimg/news/20240802/201967603_1280.png,sbs_ko,0.9999999999999962,0,0,0,0,0
16,Newsdata,https://www.lavozdegalicia.es/noticia/arousa/cambados/2024/08/02/ojo-moviles-festa-do-albarino/00031722610090112197491.htm,Ojo con los móviles en la Festa do Albariño,Denuncian el robo y extravío de numerosos teléfonos,2024-08-02 15:04:00,https://cflvdg.avoz.es/sc/raIEkLuFjaUAj4a17Rbu5IhLZ5Y=/768x/2024/08/02/00121722610801531788358/Foto/A_20240802_141604001.jpg,lavozdegalicia,0.9999999999999962,0,0,0,0,0
17,Newsdata,https://www.express.co.uk/sport/boxing/1931465/Kellie-Maloney-Frank-Lennox-Lewis-LGBT-Transgender,Kellie Maloney opens up on gender reassignment and struggles transitioning to woman,"Kellie Maloney has opened up on the struggles she faced as a woman living in a man's body for decades, before bravely undergoing gender reassignment in 2014.",2024-08-02 15:04:00,https://cdn.images.express.co.uk/img/dynamic/102/590x/1931465_1.jpg,expresscouk,0.9999768200296286,20,30,154,41,105
18,Newsdata,https://www.hitc.com/team-mate-pays-tribute-as-he-tips-6m-ace-for-success-at-nottingham-forest/,'Wish him every success': Team-mate pays tribute as Nottingham Forest land £6m bargain,Nottingham Forest won the race ahead of many Premier League rivals...,2024-08-02 18:00:00,https://www.hitc.com/static/uploads/2024/08/GettyImages-2046565635-1024x695.jpg,hitc,0.3287796039422926,31,59,223,39,92
19,Newsdata,https://www.dn.se/kultur/vargens-unge-del-42-av-57/,"Vargens unge, del 42 av 57",Läs tidigare avsnitt här,2024-08-02 18:00:00,https://static.bonniernews.se/gcs/bilder/dn-mly/e54d4abf-0b77-4c86-90b9-76581f0f352d.jpeg?downsize=1000%3A%2A&interpolation=lanczos-none&output-format=jpeg&output-quality=80,dn,0.9999999999999962,0,0,0,0,0
20,Newsdata,https://lanacionweb.com/internacional/llegan-a-chile-los-primeros-20-diplomaticos-expulsados-por-venezuela/,Llegan a Chile los primeros 20 diplomáticos expulsados por Venezuela,"Un grupo de 20 funcionarios de la misión diplomática chilena en Venezuela llegaron este jueves al aeropuerto de Santiago tras la orden de expulsión emitida por el presidente venezolano, Nicolás Maduro, mientras que el resto del personal llegará el sábado. Listen to Radio Democracia Electoral byLa Nacion Radio on hearthis.at “Es un orgullo para nuestro país estar [...]",2024-08-02 18:00:00,https://i0.wp.com/lanacionweb.com/fotoedicion/2024/08/image-12.png?fit=1024%2C683&ssl=1,lanacionweb,0.9999999999999962,0,0,0,0,0
21,Newsdata,https://www.b92.net/sport/pojedinacni-sportovi/streljastvo/45654/zorana-i-jelena-arunovic-za-b92sport-otkrile-sve-o-cuvenom-tajm-autu-na-oi-2024/vest,Arunovićeve za B92.sport otkrile sve o ključnom trenutku koji nam je doneo zlato u Parizu!,Olimpijska šampionka Zorana Arunović je u razgovoru za B92.sport odgovorila na sva pitanja koja već danima zanimaju javnost.,2024-08-02 18:00:00,https://www.b92.net/data/images/2024-08-02/50998_tan2024-08-0201450591-6_f.jpg,b92,3.5719216218484926e-178,3,67,387,2,49
