id,apiname,url,title,summary,published,imageurl,source,score,adverb_count,adjective_count,noun_count,pronoun_count,verb_count
1,Newsdata,https://kannada.news18.com/photogallery/lifestyle/dating-partner-should-have-these-5-qualities-youth-new-ideas-mnk-1798563.html,ಡೇಟಿಂಗ್ ಮಾಡುವಾಗ ಪಾರ್ಟ್ನರ್​ನಲ್ಲಿ ಈ ಗುಣಗಳಿದ್ದರೆ ಅವರೇ ನಿಮಗೆ ಬೆಸ್ಟ್​ ಜೋಡಿ!,"Dating Tips: ನಿಮ್ಮ ನೆಚ್ಚಿನ ಭಕ್ಷ್ಯವನ್ನು ನೆನಪಿಟ್ಟುಕೊಳ್ಳುವುದು ಮತ್ತು ಪ್ರಾಮಾಣಿಕವಾಗಿ ಮಾತನಾಡುವವರು ನಿಮಗೆ ಉತ್ತಮ ಹೊಂದಾಣಿಕೆಯೆಂದೇ ತಿಳಿಯಬಹುದು. ಸರಳವಾಗಿ ಹೇಳುವುದಾದರೆ, ಇವು ಗ್ರೀನ್ ಸಿಗ್ನಲ್ ನೀಡಿದ್ದಂತೆ. ಇವುಗಳೊಂದಿಗೆ ಸಂಬಂಧವು ಸರಿಯಾದ ಹಾದಿಯಲ್ಲಿ ಸಾಗುತ್ತಿದೆ ಎಂದು ತಿಳಿಯಬಹುದು.",2024-08-02 06:40:00,https://images.news18.com/kannada/uploads/2024/08/1722572979_FotoJet-10-2024-02-e5dfb7f8a81a50db96c50ee92bad867a-3x2.jpg,kannada_news18,0.9999999999999962,0,0,0,0,0
2,Newsdata,https://www.news18.com/lifestyle/janhvi-kapoors-black-saree-gets-a-modern-twist-with-a-floral-latex-corset-8981029.html,Janhvi Kapoor’s Black Saree Gets A Modern Twist with A Floral Latex Corset,The actress’s promotional look for her upcoming film Ulajh has been making the headlines.,2024-08-02 06:39:54,https://images.news18.com/ibnlive/uploads/2024/08/untitled-project-2024-08-dd160a3bb0840ef53b46174b400bbae9-3x2.jpg,news18,1.0725618006952162e-05,9,51,152,17,51
3,Newsdata,https://tv9bangla.com/lifestyle/how-to-stop-hair-fall-in-monsoon-causes-and-prevention-tips-1103225.html,Monsoon Hair Fall: বর্ষায় মুঠো মুঠো চুল উঠছে? মাত্র ৩ টিপসে বন্ধ হবে বৃষ্টির দিনে চুলের সমস্যা,"Hair Loss: সারা দিনরাত বৃষ্টি। প্যাচেপ্যাচে কাদা, জল যেন বিরক্তিকর। এই মরশুমে আরও বিরক্তিকর হল চুল পড়া। দিনে ৫০-১০০টা চুল পড়া স্বাভাবিক। তার বেশি চুল পড়লেই সাবধান। বর্ষাকালে মারাত্মক চুল পড়া বেড়ে যায়। কিন্তু এর পিছনে কী কারণ থাকে? আর কীভাবেই বা আপনি এই চুল পড়ার সমস্যা থেকে মুক্তি পাবেন?",2024-08-02 06:39:52,https://images.tv9bangla.com/wp-content/uploads/2024/08/hair-fall.jpg,tv9bangla,0.9999999999999962,0,0,0,0,0
4,Newsdata,https://malayalam.indianexpress.com/lifestyle/coffee-foot-scrub-home-made-6793656,"മങ്ങിയ കാൽപ്പാദങ്ങൾക്ക് വിട, ഈ പൊടിക്കൈ പരീക്ഷിച്ചു നോക്കൂ","മുഖത്തിനും ശരീരത്തിനും എന്നതു പോലെ തന്നെ പാദങ്ങൾക്കും വളരെയധികം ശ്രദ്ധയും പരിചരണവും അവശ്യമാണ്. പ്രത്യേകിച്ച് മഴക്കാലത്ത് പുറത്തു പോയി വന്നാൽ ഉറപ്പായും കാലുകൾ കഴുകി ഈർപ്പമില്ലാതെ സൂക്ഷിക്കുക. അല്ലെങ്കിൽ അവ വരണ്ടതും മങ്ങിയതുമാകാൻ തുടങ്ങും. ഈർപ്പം തങ്ങി നിന്നാൽ ഫംഗൽ ബാധയുടെ സാധ്യതകളും ഏറും. ചർമ്മ സംരക്ഷണത്തിനായ മാസ്ക്കുകളും വിപണിയിൽ ലഭ്യമാകുന്ന പല ഉത്പന്നങ്ങളും പ്രയോഗിച്ചു നോക്കുന്നവരാണ് അധികം ആളുകളും. അങ്ങനെയെങ്കിൽ പാദ സംരക്ഷണത്തിനും ഇത്തരം മാർഗ്ഗങ്ങൾ സ്വീകരിച്ചു നോക്കൂ. വീട്ടിൽ തന്നെ ഉണ്ടാക്കിയ സ്‌ക്രബ് ഉപയോഗിച്ച് പാദങ്ങളിലെ അഴുക്കും മൃതുചർമ്മവും നീക്കം ചെയ്യാൻ സാധിക്കും. ചേരുവകൾകാപ്പിപ്പൊടിവെളിച്ചെണ്ണപഞ്ചസാരതയ്യാറാക്കുന്ന വിധംഒരു ബൗളിലേയ്ക്ക് രണ്ട് ടേബിൾസ്പൂൺ കാപ്പി പൊടിയെടുക്കുക. ഇതിലേയ്ക്ക് രണ്ട് ടേബിൾസ്പൂൺ പഞ്ചസാര, ഒരു ടേബിൾസ്പൂൺ വെളിച്ചെണ്ണ എന്നിവ ചേർത്തളിക്കുക.പാദങ്ങളിൽ ഇത് പുരട്ടി പത്ത് മുതൽ പതിനഞ്ച് മിനിറ്റു വരെ മസാജ് ചെയ്യുകശേഷം കഴുകി കളയുക.മുകളിലുള്ള ലേഖനം അറിവ് നൽകുന്നതിന് മാത്രമുള്ളതാണ്, പ്രൊഫഷണൽ മെഡിക്കൽ നിർദേശത്തിന് പകരമാകാൻ ഉദ്ദേശിച്ചുള്ളതല്ല. നിങ്ങളുടെ ആരോഗ്യത്തെക്കുറിച്ചോ ആരോഗ്യസ്ഥിതിയെക്കുറിച്ചോ ഉണ്ടായേക്കാവുന്ന എന്തെങ്കിലും ചോദ്യങ്ങൾക്ക് എല്ലായ്പ്പോഴും നിങ്ങളുടെ ഡോക്ടറുടെയോ മറ്റ് യോഗ്യതയുള്ള ആരോഗ്യ പ്രൊഫഷണലിന്റെയോ മാർഗ്ഗനിർദ്ദേശം തേടുകRead Moreതിളക്കമുള്ള ചർമ്മത്തിന് കഴിക്കൂ ഈ ഭക്ഷണങ്ങൾവരണ്ട തലയോട്ടിയും മുടികൊഴിച്ചിലും തടയാം, ഈ ഹെയർ മാസ്ക് ട്രൈ ചെയ്യൂമഴക്കാലത്തെ പാദ സംരക്ഷണം, ഇക്കാര്യങ്ങൾ മറക്കരുത്കണ്ണുകൾക്ക് താഴെയുള്ള കറുപ്പ് നിറം അകറ്റാം, വീട്ടിലുണ്ട് പ്രതിവിധിമഴക്കാലത്തെ ചർമ്മസംരക്ഷണം, ഈ കാര്യങ്ങൾ ശ്രദ്ധിക്കൂമുടികൊഴിച്ചിലാണോ പ്രശ്നം, ചെമ്പരത്തി കൊണ്ടുള്ള ഹെയർ മാസ്ക് ട്രൈ ചെയ്തു നോക്കൂതിളങ്ങുന്ന ചർമ്മത്തിന് ഒരുഗ്രൻ ഫെയ്സ് മാസ്ക്, സൗന്ദര്യ രഹസ്യം വെളിപ്പെടുത്തി ഭാഗ്യശ്രീസുന്ദരി കുട്ടി, അനശ്വരയുടെ ക്ലാസിക് ലുക്ക് ഏറ്റെടുത്ത് ആരാധകർ",2024-08-02 06:38:53,https://img-cdn.thepublive.com/fit-in/1280x960/indian-express-malayalam/media/media_files/8Ita7GhIbUjOArfS4DRX.jpg,indianexpress,0.9999999999999962,0,0,0,0,0
5,Newsdata,https://kannada.news18.com/news/lifestyle/these-5-everyday-healthy-hacks-into-your-lifestyle-can-make-a-noticeable-difference-in-your-weight-loss-journey-stg-akd-1797138.html,ಪ್ರತಿದಿನ ನೀವು ಈ 5 ಅಭ್ಯಾಸಗಳನ್ನು ರೂಢಿಸಿಕೊಂಡರೆ ಕೆಲವೇ ದಿನದಲ್ಲಿ ಸಣ್ಣ ಆಗೋದು ಗ್ಯಾರೆಂಟಿ!,ಪ್ರತಿಯೊಬ್ಬರೂ ಕೂಡ ಫಿಟ್‌ನೆಸ್ ಮೇಂಟೇನ್ ಮಾಡಲು ಬಯಸುತ್ತಾರೆ. ಆದರೆ ಯಾವ್ಯಾವುದೋ ಕಾರಣಕ್ಕೆ ತಮ್ಮ ದೇಹದ ಬಗ್ಗೆ ಕಾಳಜಿ ವಹಿಸಲು ಸಾಧ್ಯ ಆಗಿರುವುದಿಲ್ಲ. ಅಂತಹವರಿಗಾಗಿ ಇಲ್ಲಿದೆ ಕೆಲವೊಂದು ಟಿಪ್ಸ್.,2024-08-02 06:36:50,https://images.news18.com/kannada/uploads/2024/07/MNK-1-2024-07-ae43ec7a206ba61560da2cb890ef3bb5-3x2.jpg,kannada_news18,0.9999999999999962,0,0,0,0,0
6,Newsdata,https://www.news18.com/lifestyle/how-to-include-beer-in-your-skin-and-hair-care-routine-8984175.html,How To Include Beer In Your Skin and Hair Care Routine?,"Although many people attest to this unusual regimen for the skin and hair, beer bathing is still a relatively new practice in many regions of the world.",2024-08-02 06:31:03,https://images.news18.com/ibnlive/uploads/2024/08/image-2024-08-4997415ff6411eee0ef6affa69f60294-3x2.jpg,news18,0.05145176800514301,12,33,123,18,59
7,Newsdata,https://malayalam.samayam.com/lifestyle/health/is-fat-below-waist-dangerous-for-women/articleshow/112215897.cms,സ്ത്രീകളില്‍ അരക്കെട്ടിന് താഴെ കൊഴുപ്പടിയുന്നതിന്റെ കാര്യങ്ങള്‍,"ഇന്നത്തെ കാലത്ത് പലരേയും, പ്രത്യേകിച്ചും സ്ത്രീകളെ ബാധിയ്ക്കുന്ന ഒന്നാണ് അരക്കെട്ട് മുതല്‍ താഴേയ്ക്ക് വണ്ണം കൂടുന്നത്. നിതംബത്തില്‍ കൊഴുപ്പ് അടിഞ്ഞു കൂടുന്നതും അരക്കെട്ടില്‍ കൊഴുപ്പടിഞ്ഞ് കൂടുന്നതും ഇന്നത്തെ കാലത്ത് പ്രത്യേകിച്ചും ഒരു പ്രായം കഴിഞ്ഞാല്‍ സ്ത്രീകളില്‍ കൂടുതലായും കാണുന്ന ഒന്നാണ്. പ്രത്യേകിച്ചും മെനോപോസ് സമയത്ത്. പ്രായമാകുമ്പോള്‍ തന്നെയാണ് ഇത്തരം ബാലന്‍സ്ഡ് അല്ലാത്ത രീതിയിലെ കൊഴുപ്പ് സ്ത്രീകളില്‍ അടിഞ്ഞു കൂടുന്നത്. പുരുഷന്മാരില്‍ ഇത്തരം കൊഴുപ്പ് അടിഞ്ഞ് കൂടുന്നത് കുടവയര്‍ രൂപത്തിലാകും. ചില സ്ത്രീകള്‍ക്ക് അരക്കെട്ട് ഭാഗത്ത് തടി കൂടുന്നതിന് ഒപ്പം വയറും ചാടും. നിതംബഭാഗത്തെ കൊഴുപ്പ് സ്ത്രീകള്‍ക്ക് സൗന്ദര്യം കൂട്ടുന്നുവെന്ന് കരുതുന്നവരുണ്ട്. പല സെലിബ്രിറ്റികളും ഈ ഭാഗത്ത് സര്‍ജറി ചെയ്തും മറ്റും തടി വര്‍ദ്ധിപ്പിയ്ക്കുന്നവരുണ്ട്. വാസ്തവത്തില്‍ ഇത്തരത്തില്‍ അരക്കെട്ട് ഭാഗത്ത് തടി കൂടുന്നത് ആരോഗ്യകരമാണോ, ഇതിന് കാരണം എന്ത് എന്നറിയാം. ഇത് വാസ്തവത്തില്‍ അപകടകരമോ എന്നും അറിയാം.",2024-08-02 06:30:38,"https://static.langimg.com/photo/imgsize-45276,msid-112215897/malayalam-samayam.jpg",malayalam_samayam,1.0,0,0,5,0,1
55,Newsdata,https://timesofindia.indiatimes.com/city/ahmedabad/ahmedabad-city-development-plan-hindered-by-unclear-boundaries/articleshow/112507255.cms,Unclear boundaries limit progress of city’s development plan,,2024-08-13 23:02:25,"https://static.toiimg.com/photo/msid-112507255,imgsize-.cms",toi,3.9328390646865895e-49,11,58,195,4,92
8,Newsdata,https://www.bhaskar.com/international/news/hamas-chief-possible-contenders-khaled-mashaal-khalil-al-hayya-ismail-haniyeh-133418579.html,"हानियेह की जगह कौन बनेगा हमास चीफ:4 दावेदार, किसी ने चम्मच से गड्ढा खुदवाकर गद्दार को जिंदा दफनाया, किसी को खुद इजराइल ने बचाया","हमास के पॉलिटिकल चीफ इस्माइल हानियेह की मंगलवार रात एक इजराइली हमले में मौत हो गई। वह हमास का सबसे बड़ा चेहरा था। अब उसकी जगह लेने वाले शख्स की चर्चा शुरू हो गई है। आम तौर पर किसी चीफ के मरने के बाद उनकी जगह डिप्टी चीफ लेता है, लेकिन हमास के डिप्टी चीफ रहे सालेह अल-अरूरी की हत्या इसी साल जनवरी में हो गई थी। इजराइली सेना ने एक ड्रोन हमले में हमास के नंबर-2 नेता को मार दिया था। अब हमास के पॉलिटिकल विंग में नंबर-1 और नंबर-2 दोनों की कुर्सी खाली है। हानियेह की मौत के बाद कुछ ऐसे लोग हैं जिनके बारे में कहा जा रहा है कि वे हानियेह की जगह ले सकते हैं। शूरा परिषद, हमास को सलाह देने वाली संस्था है। रिपोर्ट्स के मुताबिक इसकी बैठक जल्द होने की उम्मीद है। इसमें ही हमास के नए उत्तराधिकारी के नाम का खुलासा किया जाएगा। हमास में हानियेह की जगह लेने वालों में 4 नामों की काफी चर्चा हो रही है। 1. याह्या सिनवार- हमास का सबसे खूंखार शख्सहानियेह के बाद सिनवार को हमास का दूसरा सबसे बड़ा पॉलिटिकल लीडर माना जाता रहा है। 62 साल के याह्या सिनवार को लोग अबु इब्राहिम के नाम से भी जानते हैं। उसका जन्म गाजा पट्टी के दक्षिणी इलाके में स्थित खान यूनिस के शरणार्थी कैंप में हुआ था। याह्या के मां-बाप अश्केलॉन के थे। 1948 में इजराइल की स्थापना हुई और हजारों फिलिस्तीनियों को उनके पुश्तैनी घरों से निकाला गया, तो याह्या के माता-पिता भी शरणार्थी बन गए थे। फिलिस्तीनी उसे 'अल-नकबा' यानी तबाही का दिन कहते हैं। BBC के मुताबिक याह्या सिनवार को पहली बार इजराइल ने 1982 में गिरफ्तार किया था। उस समय उसकी उम्र 19 साल थी। याह्या पर 'इस्लामी गतिविधियों' में शामिल होने का इल्जाम था। 1985 में उसे दोबारा गिरफ्तार किया गया। लगभग इसी दौरान, याह्या ने हमास के संस्थापक शेख अहमद यासीन का भरोसा जीत लिया। सिनवार 1985 में हमास के संस्थापक शेख अहमत यासीन के करीब आया। वह हमास के फाउंडिंग मेंबर में से है। सिनवार गाजा पट्टी में हमास चीफ के पद पर है। हानियेह और दाइफ की तरह सिनवार को भी इजराइल पर हमले का मास्टरमाइंड माना जाता है। सिनवार को दो इजराइली सैनिकों की हत्या का दोषी पाया गया था जिसके बाद उसे 22 साल तक इजराइल की जेल में रहना पड़ा। साल 2011 में इजराइली सैनिक गिलाद शालित के बदले 1027 फिलिस्तीनी कैदियों को छोड़ गया था। इसमें सिनवार भी शामिल था। अब इजराइल इसे सबसे बड़ी गलती मानता है। खान यूनिस का कसाईसिनवार को निर्मम हत्याएं करने के लिए जाना जाता है। बीबीसी की एक रिपोर्ट के मुताबिक सिनवार ने इजराइल के लिए जासूसी करने के शक में एक शख्स को उसके भाई के हाथों ही जिंदा दफन करवा दिया था। हैरानी की बात ये है कि दफन करने का काम किसी फावड़े से नहीं बल्कि चम्मच से किया गया था। ऐसी क्रूरता की वजह से ही सिनवार को खान यूनिस का कसाई भी कहा जाता है। सिनवार के करीबी भी उससे खौफ खाते हैं। कहा जाता है कि अगर आप सिनवार की बात को टाल रहे हैं तो अपनी जिंदगी को दांव पर लगा रहे हैं। सिनवार ने 2015 में हमास कमांडर महमूद इश्तिवी की टॉर्चर कर जान ले ली थी। इश्तिवी पर समलैंगिकता और पैसों की हेरा-फेरी करने का आरोप था। सिनवार लोगों को कंट्रोल करने में माहिर है। हालांकि उसे बहुत अच्छा वक्ता नहीं माना जाता है। 2014 में उसे ‘मृत’ घोषित कर दिया था, कुछ समय बाद ये एक अफवाह साबित हुई। साल 2015 में याह्या को अमेरिका ने आतंकी घोषित किया था। सिनवार को ईरान का करीबी माना जाता है। हानियेह की जगह लेने के लिए सिनवार का दावा भी बहुत मजबूत है। 2. खालिद मेशाल- हानियेह से पहले 21 सालों तक हमास चीफ रहाहानियेह की मौत के बाद उसकी जगह लेने वाले में सिनवार की तरह ही खालिद मेशाल का दावा बेहद मजबूत माना जा रहा है। मेशाल का जन्म 28 मई 1956 को वेस्ट बैंक में रामल्लाह के करीब सिलवाड में हुआ था। वह 15 साल की उम्र में ही मिस्र के सुन्नी संगठन 'मुस्लिम ब्रदरहुड' में शामिल हो गया था। साल 1987 में जब हमास का गठन हुआ तो उसमें मेशाल भी शामिल था। वह 1996 में हमास का पॉलिटिकल चीफ बना और 2017 तक इस पद पर रहा। इसके बाद हानियेह ने उसकी जगह ली।मेशाल भी हानियेह की तरह दोहा में रहता है। 2004 से 2012 के बीच वह सीरिया में रहकर काम करता था। लेकिन इसी दौरान सीरिया में गृहयुद्ध शुरू हो गया। सीरिया में सुन्नी आबादी ज्यादा है, जबकि वहां के शासक बशर अल-असद शिया हैं। हमास एक सुन्नी संगठन है। ऐसे में मेशाल ने सीरिया में सुन्नी गुट का समर्थन किया। इससे राष्ट्रपति बशर अल-असद नाराज हो गए। मेशाल को सीरिया छोड़ना पड़ा। इसके बाद से ही मेशाल के सीरिया और ईरान के साथ बुरे संबंध चल रहे हैं। इजराइल ने जहर दिया फिर खुद ही बचाया, नाम पड़ा- जिंदा शहीददुनिया को पहली बार 1997 में मेशाल की ताकत का अंदाजा हुआ। दरअसल मेशाल जॉर्डन में ठहरा हुआ था। इस दौरान उसे जहर दे दिया गया। जहर देने वाले मोसाद के एजेंट थे। भागते वक्त उन्हें पकड़ लिया गया था तभी पता चला इस घटना में इजराइल का हाथ है। उधर मेशाल को अस्पताल ले जाया गया। उसकी सांसे धीमी हो रही थीं। डॉक्टरों ने हाथ खड़े कर दिए। उन्होंने कहा कि जल्द से जल्द जहर का एंटीडोट नहीं मिला तो मेशाल की जान नहीं बच पाएगी। इसके बाद जॉर्डन किंग हुसैन ने इजराइल को धमकी दी कि अगर आधी रात से पहले उस जहर का एंटीडोट नहीं भेजा गया तो वह इजराइल के साथ हुआ शांति समझौता तोड़ देंगे। इतना ही नहीं, जहर देने वाले मोसाद के एजेंट्स को फांसी पर लटका देंगे। पहले तो इजराइल ने इस मामले में अपना हाथ होने से ही इनकार कर दिया लेकिन जब अमेरिकी राष्ट्रपति बिल क्लिंटन ने खुद नेतन्याहू को समझाया तो उन्हें मजबूर होकर एंटिडोट भिजवाना पड़ा।मेशाल जिंदा बच गया। बाद में नेतन्याहू जॉर्डन भी गए और वहां पर किंग से माफी भी मांगी। ये पहली बार हुआ था कि इजराइल ने अपने किसी दुश्मन को मरने से बचाया। तब से उसका नाम ‘जिंदा शहीद’ पड़ गया। विदेश नीति का बड़ा चेहरा है मेशालमेशाल, हमास की विदेश नीति का बड़ा चेहरा है। उसे करिश्माई शख्सियत का बताया जाता है। वह डिप्लोमेसी में माहिर है। हमास के कई बड़े नेताओं पर यात्रा से जुड़े प्रतिबंध लगे हुए हैं मगर मेशाल इससे अछूता है। खालिद मशाल को लेकर भारत में भी विवाद हो चुका है। उसने पिछले साल अक्तूबर में फिलिस्तीनियों के समर्थन में आयोजित ऑनलाइन रैली को संबोधित किया था। ऑनलाइन रैली में हमास के एक बड़े नेता के शामिल होने से केरल बीजेपी चीफ के सुरेंद्रन नाराज हो गए थे। उन्होंने आयोजकों पर कानूनी एक्शन लेने की मांग की थी। मेशाल को याह्या सिनवार के ठीक उलट शख्सियत का माना जाता है। यही वजह है कि उसकी सिनवार से नहीं बनती। ईरान का भी मेशाल को समर्थन नहीं है बावजूद वह हमास का चीफ बनने के के लिए सबसे काबिल माना जा रहा है। 3. जेहर जबरीन- फंडिग का जुगाड़ करता है, नाम पड़ा हमास CEO जबरीन हानियेह के डिप्टी के तौर पर काम कर रहा था। उसका जन्म 1968 में वेस्ट बैंक में हुआ था। वह 1987 में हमास से जुड़ा। जबरीन फिलिस्तीन और इजराइल के बीच कैदियों की अदला-बदली में बड़ी भूमिका निभाता आया है। वह हमास की फंडिंग का काम भी देखता है इसलिए उसे अक्सर हमास का CEO भी बुलाया जाता है। वॉल स्ट्रीट जर्नल की रिपोर्ट के मुताबिक इजराइल सहित पश्चिमी देशों ने हमास पर कई आर्थिक प्रतिबंध लगा रखे हैं। इसके बावजूद वह हर साल हर साल करोड़ों डॉलर्स की फंडिंग जुटा लेता है। ये मामूली बात नहीं है। सिनवार की तरह इजराइली कब्जे से रिहा हुआद डेली मेल की रिपोर्ट के मुताबिक हमास के पास 500 मिलियन डॉलर्स से अधिक रकम है। इस पैसे का क्या और कैसे इस्तेमाल होना है ये जबरीन ही तय करता है। हमास में आर्थिक विभाग का सर्वेसर्वा होने की वजह से उसे बेहद खास रुतबा हासिल है। यही वजह है कि अमेरिका ने 2019 में उस पर प्रतिबंध लगा दिया था। जबरीन का तुर्की के राष्ट्रपति एर्दोगन से भी अच्छा रिश्ता है। इसके अलावा हिजबुल्लाह और ईरान से भी उसका अच्छा संबंध है। जबरीन को 1996 में एक इजराइली सैनिक की हत्या के बाद गिरफ्तार किया गया था। 15 साल तक वह जेल में रहा। साल 2011 में इजराइली सैनिक के बदले हुई कैदियों की अदला-बदली में वह भी सिनवार के साथ रिहा हुआ था। एक इंटरव्यू में जबरीन ने कहा था कि वह हमास के पॉलिटिकल विंग से जुड़ा है। अल कासिम से उसका कोई संबंध नहीं है। उसने आगे कहा कि इजराइल सेब और संतरे को मिलाने की कोशिश करता है लेकिन दोनों अलग हैं, एक नहीं हो सकते। अल कासिम और हमास दोनों का कोई रिश्ता नहीं है। रिपोर्ट्स के मुताबिक सिनवार और मेशाल बड़े दावेदार हैं मगर उनके संबंध अच्छे नहीं हैं। दोनों एक दूसरे के नाम पर समर्थन देंगे इसकी कम ही उम्मीद है। जबरीन को इसका फायदा मिल सकता है। खलील अल-हय्या- इजराइल से जंग के अलावा कुछ और नहीं चाहताखलील अल-हय्या भी जबरीन की तरह हानियेह के डिप्टी के तौर पद पर काम कर रहा था। अल-हय्या इजराइल से बातचीत का पक्ष में नहीं है। उसका मानना है कि इजराइल को हराकर ही फिलिस्तीन की समस्या का समाधान निकल सकता है। सीरिया में 2011 में जब गृहयुद्ध छिड़ा था तब अल-हय्या ने भी बशर असद के खिलाफ दूसरे गुट का समर्थन किया था, लेकिन अब उसने सीरियाई शासक के साथ दोस्ती कायम कर ली है। अल-हय्या को हानियेह की तरह ही कड़े और संतुलित कदम उठाने के लिए जाना जाता है। उसकी लीडरशिप की तारीफ होती है। रिपोर्ट्स के मुताबिक हमास को इस बुरे वक्त में बाहरी दुनिया का साथ चाहिए होगा। ऐसे में अल-हय्या की भूमिक बड़ी हो जाती है क्योंकि उसके ईरान, तुर्की, सीरिया, कतर और मिस्र के साथ अच्छे संबंध हैं।",2024-08-02 06:29:37,https://images.bhaskarassets.com/thumb/1000x1000/web2images/521/2024/08/02/ggggg_1722577913.gif,bhaskar_hindi,0.02834806744162719,0,1,11,1,2
9,Newsdata,https://gujarati.news18.com/news/lifestyle/amazing-benefits-of-drinking-chirata-water-for-health-ant-ageing-control-blood-sugar-cure-skin-diseases-purify-blood-weight-loss-gb-1883526.html,"ઝેર જેવા કડવા આ પાન સ્વાસ્થ્ય માટે સંજીવની, એક ઘૂંટડો પી લેશો તો નહીં આવે ઘડપણ","Chirata Plant Benefits: કડવું કરિયાતું એટલે કે ચિરાયતાના છોડનો ઉપયોગ આયુર્વેદમાં ભરપૂર કરવામાં આવે છે. આ છોડમાં તમામ ઔષધિય ગુણ હોય છે, જે તેને ખૂબ જ ખાસ બનાવે છે. યોગ્ય રીતે આ છોડનો ઉપયોગ કરવામાં આવે તો લોકોને તે લાંબા સમય સુધી હેલ્ધી રાખી શકે છે.",2024-08-02 06:27:47,https://images.news18.com/static-guju/uploads/2024/08/Chirata-2024-08-c68e72e6dc4642f58b5be5d985709116-3x2.jpg,gujarati_news18,0.9999999999999962,0,0,0,0,0
