id,apiname,url,title,summary,published,imageurl,source,score,adverb_count,adjective_count,noun_count,pronoun_count,verb_count
1,Gnews,https://www.firstpost.com/explainers/evan-gershkovich-paul-whelan-us-navigate-biggest-prisoner-swap-russia-cold-war-13799927.html,How did US navigate the biggest prisoner swap with Russia since the Cold War?,"It seemed like Mission Impossible. But after years of complex negotiations and high-stakes diplomacy, the US pulled off a seven-nation prisoner swap — the biggest since the Cold War. This exercise has led to freedom for Wall Street Journal reporter Evan Gershkovich and Russian assassin Vadim Krasikov among 24 others",2024-08-02 04:30:36,"https://images.firstpost.com/uploads/2024/08/prisoner1-2024-08-e15dd98ed1c12c35db257dd179a2d3f2.jpg?im=FitAndFill=(1200,675)",Firstpost,0.009939074294926796,48,87,616,69,255
2,Gnews,https://www.news18.com/olympics/india-at-paris-olympics-2024-day-6-wrap-swapnil-kusales-historic-bronze-adds-to-indian-tally-pv-sindhu-satwiksairaj-rankireddy-chirag-shetty-suffer-shocks-8986859.html,"India at Paris Olympics 2024, Day 6 Wrap: Swapnil Kusale's Historic Bronze Adds to Indian Tally; PV Sindhu, Satwiksairaj Rankireddy-Chirag Shetty Suffer Shocks","Kusale added India's third medal at the quadrennial event in Paris on Thursday as he bagged bronze in the Men's 50m Rifle 3 position event, but the nation had to endure the exits of high-profile athletes PV Sindhu, Satwiksairaj Rankireddy, Chirag Shetty and Nikhat Zareen all on the same day.",2024-08-01 20:37:55,https://images.news18.com/ibnlive/uploads/2024/08/copy-of-sports-55-2024-08-7ff10f28d1ef87fef25b924d0caf865e-16x9.jpg?impolicy=website&width=1200&height=675,News18,1.637087357921977e-20,21,63,296,11,94
3,Gnews,https://www.firstpost.com/world/trump-questions-kamala-harris-presidential-race-at-black-journalists-convention-13799396.html,Trump questions Kamala Harris' presidential race at Black Journalists' Convention,"As an undergraduate, Harris attended Howard University, one of the nation’s most prominent historically Black colleges and universities, where she also pledged the historically Black sorority Alpha Kappa Alpha. As a U.S. senator, Harris was a member of Congressional Black Caucus, supporting her colleagues’ legislation aimed at strengthening voting rights and reform policing",2024-07-31 19:15:53,"https://images.firstpost.com/uploads/2024/08/Untitled-design-2024-08-01T004417.781-2024-08-7ed6d8f4c9d482a9d4ff7b8ecb5862b3.jpg?im=FitAndFill=(1200,675)",Firstpost,0.04669885624398844,22,45,163,21,74
4,Gnews,https://www.news18.com/opinion/straight-talk-tragedy-of-indias-students-caught-between-a-failing-education-system-and-cruel-coaching-industry-8985026.html,Tragedy of India's Students: Caught Between a Failing Education System and Cruel Coaching Industry - News18,The unfortunate death of three young students in Delhi’s Rajinder Nagar has brought the nation’s focus to the plight students face.,2024-07-31 07:09:38,https://images.news18.com/ibnlive/uploads/2024/07/untitled-design-4-2024-07-ce31882142752cb7350bc18eb1dd0748-16x9.jpg?impolicy=website&width=1200&height=675,News18,0.0014477277529464526,69,102,366,46,224
5,Gnews,https://www.devdiscourse.com/article/law-order/3036380-xi-jinping-advocates-strengthened-border-sea-and-air-defences,"Xi Jinping Advocates Strengthened Border, Sea, and Air Defences","China's President Xi Jinping has emphasized the importance of robust border, sea, and air defences to safeguard the nation's territorial sovereignty and maritime interests. This message was conveyed during a collective study session of the Communist Party's politburo. Xi also highlighted the need for technological empowerment as China navigates rising regional tensions.",2024-07-31 06:29:24,https://www.devdiscourse.com/remote.axd?https://devdiscourse.blob.core.windows.net/aiimagegallery/31_07_2024_06_29_22_0453406.png?width=920&format=jpeg,Devdiscourse,1.9698468590780103e-85,6,19,93,1,24
6,Gnews,https://www.firstpost.com/sports/olympics-2024-india-sarabjot-singh-pm-narendra-modi-phone-call-13798955.html,"'Desh ka naam bada kiya hai', PM Modi congratulates shooter Sarabjot Singh after winning Paris Olympics bronze; Watch","'Sarabjot, congratulations. You have brought immense pride to the nation. Your efforts have given you a fruitful result', PM Modi told Sarabjot Singh via phone call.",2024-07-30 19:54:31,"https://images.firstpost.com/uploads/2024/07/Sarabjot-and-Modi_PTI-2024-07-cc6ab5c5bdb7bdb5f9da15ad802a6d42-1200x675.jpg?im=FitAndFill=(1200,675)",Firstpost,0.5284782951974217,12,28,146,20,61
7,Gnews,https://www.indiatvnews.com/news/india/wayanad-landslide-death-count-rises-to-123-amid-massive-rescue-operation-for-survivors-kerala-latest-updates-2024-07-30-944433,Wayanad landslide: Death count rises to 123 amid massive rescue operation for survivors,The Kerala government has sought further assistance from the nation's defence forces to augment the rescue teams. A 43-member team from the 122 Infantry Battalion (TA) MADRAS has been deployed to aid in the efforts.,2024-07-30 17:30:54,https://resize.indiatvnews.com/en/resize/newbucket/1200_-/2024/07/PTI07_30_2024_000586B.jpg,India TV News,1.1571862954100379e-13,26,54,264,19,159
8,Gnews,https://www.firstpost.com/explainers/from-wayanad-landslides-to-delhi-heatwaves-how-extreme-weather-is-bringing-devastation-to-india-13798877.html,Kerala landslides: How extreme weather change is affecting lives in India?,"India has been witnessing some of the most ravaging climate changes in recent times. Following the landslides in Kerala that have claimed 90 lives already and wreaked havoc in the Wayanad district, here is a list of natural calamities that rocked the nation",2024-07-30 15:27:26,"https://images.firstpost.com/uploads/2024/07/Kerela-2024-07-fd0fb6ed8037dfa1fe49976447f24464.jpg?im=FitAndFill=(1200,675)",Firstpost,1.964185524766168e-61,19,58,244,4,94
9,Gnews,https://www.firstpost.com/explainers/nigeria-unrest-what-do-we-know-about-the-protests-planned-for-this-week-13798467.html,Nigeria unrest: What do we know about the protests planned for this week?,"Nigeria is going through its worst cost-of-living crisis in a generation after r President Bola Ahmed Tinubu, who took power last year, introduced a slew of reforms that tripled petrol prices and spiked inflation. Some believe that Nigeria, which is Africa's most populous nation, could witness a redux of what happened in Kenya recently. Here's everything we know",2024-07-30 02:35:09,"https://images.firstpost.com/uploads/2024/06/Nigeria-2024-06-2471215f2548c602457647f083d6585d.jpg?im=FitAndFill=(1200,675)",Firstpost,0.0007496436636291355,28,83,317,37,185
10,Gnews,https://www.devdiscourse.com/article/law-order/3034691-tragedy-in-southport-knife-attack-at-taylor-swift-themed-event-shocks-nation,Tragedy in Southport: Knife Attack at Taylor Swift-Themed Event Shocks Nation,"King Charles and Queen Camilla express shock after a ferocious stabbing attack at a community center in Southport, England, left two children dead and nine others seriously injured. A 17-year-old suspect has been arrested. The incident has drawn condolences from royalty and political leaders alike.",2024-07-29 22:17:38,https://www.devdiscourse.com/remote.axd?https://devdiscourse.blob.core.windows.net/imagegallery/03_03_2020_19_04_52_2445844.jpg?width=920&format=jpeg,Devdiscourse,0.9650974612344924,16,25,150,25,93
22,Gnews,https://indianexpress.com/article/india/president-murmu-in-fiji-india-to-push-for-climate-justice-for-ocean-states-9499378/,President Murmu in Fiji: ‘India to push for climate justice for ocean states’’,"During the first ever visit by an Indian head of state to the island nation, President Murmu also held bilateral talks with Fijian President Ratu Wiliame Maivalili Katonivere",2024-08-06 23:20:45,https://images.indianexpress.com/2024/08/Murmu_0c39ff.jpg,The Indian Express,7.392800336576173e-05,6,20,85,9,28
