id,apiname,url,title,summary,published,imageurl,source,score,adverb_count,adjective_count,noun_count,pronoun_count,verb_count
1,Newsdata,https://www.prabhatkhabar.com/life-and-style/travel/bhopal-unique-taj-mahal-mp-tourism,MP Tourism: मध्य प्रदेश की राजधानी भोपाल में भी है अनोखा ताजमहल,"भोपाल के ताजमहल (""Taj Mahal of Bhopal) का निर्माण प्रसिद्ध वास्तुकार सर सैयद अहमद खान द्वारा डिजाइन किया गया और भोपाल की एकमात्र नवाब शाहजहां बेगम के द्वारा बनवाया गया था.The post MP Tourism: मध्य प्रदेश की राजधानी भोपाल में भी है अनोखा ताजमहल appeared first on Prabhat Khabar.",2024-08-02 17:34:52,https://www.prabhatkhabar.com/wp-content/uploads/2024/01/1619176320_tajmahal.jpg,prabhatkhabar,0.9999999999999962,0,0,0,0,0
2,Newsdata,https://www.bhaskar.com/local/bihar/kishanganj/news/children-created-a-ruckus-when-they-were-given-a-rotten-egg-in-their-food-133420327.html,"खाने में सड़ा अंडा देने पर बच्चों ने किया हंगामा:परिजनों ने स्कूल प्रशासन पर लगाए गंभीर आरोप, BEO ने जांच के बाद कार्रवाई का दिया आदेश","किशनगंज के ठाकुरगंज के कनकपुर में एक विद्यालय में बच्चों को खाने में सड़ा अंडा देने पर बच्चों के साथ परिजनों ने जमकर बवाल किया। मामला ठाकुरगंज के कनकपुर पंचायत अंतर्गत स्थित उत्क्रमित मध्य विद्यालय जामनीगुड़ी का है। जहां शुक्रवार दोपहर को खराब और सड़ा हुआ मध्यान भोजन सैकडों बच्चो के बीच परोसा गया है। जिसके बाद बच्चो के शिकायत पर सभी बच्चो के अविभावक और आसपास के ग्रामीण स्कूल पहुंचकर जमकर बवाल किया है। जहां आक्रोशित लोगो ने स्कूल प्रशासन के खिलाफ कई आरोप लगाते हुए कार्रवाई की मांग की है। वहीं हंगामे की सूचना मिलते ही मौके पर कुर्लीकोर्ट थाना की पुलिस अपने दल बल के साथ पहुंच चुकी है और किसी तरह लोगो को शांत करवाया है। सारे आरोप निराधार प्रधानाध्यापक ने कहा कि भोजन में किसी प्रकार का कोई भी दिक्कत नही थी, और सारे आरोप निराधार है। जांच के बाद होगी कार्रवाई प्रखंड शिक्षा पदाधिकारी कुनकुन मल्लिक ने इस संदर्भ में जानकारी देते हुए बताई कि मामले की उन्हें सूचना मिली है वो मामले की छानबीन और कर उक्त स्कूल और शिक्षकों पर विधि सम्मत कार्रवाई करेगी।",2024-08-02 17:05:46,https://images.bhaskarassets.com/thumb/1000x1000/web2images/521/2024/08/02/2eb9f695-d8dd-4e98-9ebf-efb0b8d4dda4_1722606851984.jpg,bhaskar_hindi,0.02834806744162719,0,1,11,1,2
3,Newsdata,https://www.bhaskar.com/local/bihar/patna/news/electricity-will-be-cut-for-3-hours-in-patna-due-to-cable-shifting-and-maintenance-133420323.html,"पटना में केबल शिफ्टिंग-मेंटेनेंस के चलते 3 घंटे ​​​​​​​कटेगी बिजली:बोरिंग रौड चौराहा, पाटलिपुत्र कॉलोनी समेत कई इलाकों में सप्लाई बाधित रहेगी","पटना में शनिवार को पेड़ की छंटाई और मेंटेनेंस वर्क को लेकर 3 घंटे तक बिजली की सप्लाई बाधित रहेगी। PMCH परिसर, धन्वंतरि चाणक्य अस्पताल मखनिया कुआं, खुदा बख्श लाइब्रेरी, पटना मार्केट, अशोक राजपथ, जीएम रोड, अशोक राजपथ, आर्य कुमार रोड, बोरिंग रोड चौराहा, पाटलिपुत्र कॉलोनी समेत कई इलाकों में बिजली कटेगी। इन इलाकों में कटेगी बिजली बिजली विभाग के मुताबिक पेड़ की छंटाई को लेकर 11KV पावर सब स्टेशन सुबह 7 से 9 बजे कर बंद रहेगा। इस वजह से पीएमसीएच परिसर, IGIIC बिल्डिंग, धन्वंतरि चाणक्य अस्पताल मखनिया कुआं, खुदा बख्श लाइब्रेरी के इलाकों में बिजली गुल रहेगी। केबल शिफ्टिंग को लेकर रात 12:30 बजे से 2:30 बजे तक मखनिया कुंआ, जीएम रोड, बाबू टोला गली, पटना मार्केट, अशोक राजपथ, व्हाइट को गली में बिजली कटेगी एआरएमयू इंस्टॉल को लेकर 11KV इनर फीडर मछुआ टोली पावर सब स्टेशन सुबह 11 बजे से दोपहर 2 बजे बंद रहेगा। इस वजह से आर्य कुमार रोड, डीएन दास लेन, मछुआ टोली चौराहा, काजीपुर, धरहरा कोठी, खजांची रोड में बिजली आपूर्ति बाधित रहेगी। उतरी जक्कनपुर फीडर गर्दनीबाग पावर सब स्टेशन के अंतर्गत राजपूताना, योगिया टोली, यारपुर रोड नंबर-1, कहार टोली शिव मंदिर के इलाकों में सुबह 11 बजे से दोपहर 1 बजे तक बिजली कटेगी। इलाके की बिजली आपूर्ति रहेगी बंद। 11KV कृष्णा नगर फीडर हाईकोर्ट पावर सब स्टेशन से सुबह 7 बजे से 9 बजे तक बिजली की सप्लाई ठप रहेगी। जिसके कारण कृष्णा नगर कवि रमण पथ, नागेश्वर कॉलोनी, किदवईपुरी, चकारम में बिजली कटेगी। 11KV बीसी रोड ऊर्जा भवन पावर सब स्टेशन सुबह 10:30 बजे से 11:30 बजे तक बंद रहेगा। जिसके चलते बीसी रोड, बोरिंग रोड चौराहा, गोरखनाथ लेन के इलाकों में सप्लाई प्रभावित रहेगी। इसके अलावा 11KV राजीव नगर, इंद्रपुरी, पाटलीपुत्र कॉलेज का फीडर सुबह 11 बजे से दोपहर 2 बजे दिन बंद रहेगा। जिसके कारण पाटलीपुत्र कॉलोनी, इंद्रपुरी, राजीव नगर रोड नंबर-8 समेत अन्य इलाकों में बिजली कटेगी। 11KV घुरदौर फीडर के अंतर्गत सुबह 10 बजे से दोपहर 12 बजे तक राजीव नगर रोड नंबर13 के इलाकों में बिजली की सप्लाई बाधित रहेगी।",2024-08-02 17:03:34,https://images.bhaskarassets.com/thumb/1000x1000/web2images/521/2024/08/02/bijli-alert-1-1_1722618021.gif,bhaskar_hindi,0.02834806744162719,0,1,11,1,2
4,Newsdata,https://www.bhaskar.com/local/bihar/kaimur/news/high-speed-car-hits-e-rickshawpassenger-dies-133420296.html,"तेज रफ्तार कार ने ई-रिक्शा में मारी टक्कर...यात्री की मौत:कैमूर से यूपी जा रहे थे, इलाज के दौरान गई जान","कैमूर के रामगढ़ थाना क्षेत्र के देवहलिया रोड में गैस एजेंसी के पास खड़े ई-रिक्शा में कार ने जोरदार टक्कर मार दिया। जिससे ई-रिक्शा पलट गया, इस हादसे में कई यात्री घायल हो गए। जिसके बाद स्थानीय लोगों ने ई रिक्शा को खड़ा करते हुए सभी को बाहर निकाला जहां तीन लोग को हल्की चोट आई थी और एक व्यक्ति को गंभीर चोट थी। देवहलीया में घायल व्यक्ति का इलाज निजी अस्पताल में कराया गया। लेकिन जब स्थिति में कोई सुधार नहीं हुआ तो ई रिक्शा चालक उनको उपचार कराने के लिए रेफरल अस्पताल रामगढ़ लेकर आया। जहां प्राथमिक उपचार करने के बाद चिकित्सक ने जांच के बाद मृत घोषित कर दिया। ग्रामीणों द्वारा घटना की जानकारी रामगढ़ पुलिस को दी गई। रेफरल अस्पताल रामगढ़ पहुंची पुलिस शव का पंचनामा तैयार करते हुए परिजनों की उपस्थिति में पोस्टमार्टम करने के लिए सदर अस्पताल भभुआ भिजवा दिया। मृतक रामगढ़ थाना क्षेत्र के लरिया गांव के स्वर्गीय देऊ पासी के पुत्र बगेदू बहेरिया बताये जा रहे है। जो अपने बेटी के पास उत्तर प्रदेश जा रहे थे। इलाज के दौरान गई जान मृतक के पुत्र अवधेश पासी ने बताया कि मेरे पिता रामगढ़ से ई-रिक्शा पकड़कर अपनी बेटी के पास उत्तर प्रदेश के हरबलमपुर जा रहे थे । लेकिन देवरिया रोड में गैस एजेंसी के पास ई-रिक्शा में एक कार ने बैक करने के दौरान टक्कर मार दिया, जिससे ई रिक्शा पलट गया। जिसमें वो घायल हो गए, जिन्हें इलाज के लिए रेफरल अस्पताल रामगढ़ लाया। जहां उपचार के दौरान उनकी मौत हो गई। जांच में जुटी पुलिस रामगढ़ पुलिस ने बताया ई-रिक्शा पलटने से एक व्यक्ति का इलाज के दौरान मौत हो गई है। उपचार करने के लिए सदर अस्पताल भभुआ भेज दिया गया है । आगे की कार्रवाई की जा रही है।",2024-08-02 16:50:53,https://images.bhaskarassets.com/thumb/1000x1000/web2images/521/2024/08/02/2067cdb9-0120-4a9b-8230-50d15cfa26e3_1722606693634.jpg,bhaskar_hindi,0.02834806744162719,0,1,11,1,2
18,Newsdata,https://www.onmanorama.com/travel/travel-news/2024/08/29/passport-seva-kendra-services-suspended-maintenance-kochi.html,Passport services suspended for a few days for maintenance: Know more,The officials at the passport office said that the applicants who got an appointment on August 30 at the Passport Seva Kendras and post office passport seva kendra will get another appointment from September 2 onwards.,2024-08-29 05:45:36,https://img.onmanorama.com/content/dam/mm/en/travel/travel-news/images/2024/8/29/passport.jpg.transform/576x300/image.jpg,onmanorama,3.3599787848495258e-99,1,4,44,1,28
21,Newsdata,https://www.onmanorama.com/travel/travel-news/2024/08/30/vistara-aircraft-air-india-merger-airlines.html,"Vistara's aircraft, crew to move to Air India on Nov 12","From September 3, passengers wanting to book flights departing on or after November 12 through Vistara's website will progressively be redirected to Air India's site to complete the booking.",2024-08-30 08:40:15,https://img.onmanorama.com/content/dam/mm/en/travel/travel-news/images/2024/5/31/air-india.jpg.transform/576x300/image.jpg,onmanorama,6.740954976470602e-21,11,15,115,6,49
23,Newsdata,https://www.onmanorama.com/travel/travel-news/2024/09/01/tamil-nadu-vande-bharat-eight-services-delhi-chennai-nagercoil-madhura-bengaluru.html,Tamil Nadu's Vande Bharat trains: How is it helping tourism?,The state recently got its eighth Vande Bharat train.,2024-09-02 06:13:01,https://img.onmanorama.com/content/dam/mm/en/travel/travel-news/images/2024/9/1/vande-bharat-chennai.jpg.transform/576x300/image.jpg,onmanorama,1.9657266022719856e-10,8,17,113,7,26
5,Newsdata,https://www.bhaskar.com/local/bihar/begusarai/news/the-miscreants-shot-the-young-man-in-begusarai-133420281.html,"बेगूसराय में बदमाशों ने युवक को मारी गोली:DSP ने अपनी गाड़ी से पहुंचाया अस्पताल, प्रेम-प्रसंग में फायरिंग की चर्चा","बेगूसराय में बेखौफ बदमाशों ने एक युवक को गोली मार दिया है। घटना बखरी थाना क्षेत्र के एनपीएस सोनमा पूर्वी के समीप की है। घायल युवक की पहचान सोनमा निवासी मो. इलियास के पुत्र मुमताज (23) के रूप में किया गया है। गंभीर रूप से घायल युवक को अपनी गाड़ी से लेकर बखरी डीएसपी अस्पताल पहुंचे। जहां स्थिति गंभीर रहने के कारण रेफर कर सदर अस्पताल में भर्ती कराया गया है। घटना के संबंध में बताया जा रहा है कि मुमताज एनपीएस सोनमा पूर्वी के समीप खड़ा था। इस दौरान काफी तेज गति से उजला रंग के अपाची बाईक पर सवार तीन युवक आए और मुमताज के समीप रुकते ही उसके सीने में दो गोली मारकर प्राणपुर गुमटी की ओर भाग गए। प्रेम प्रसंग में फायरिंग की आशंका बाइक पर सवार तीनों बदमाश का मुंह ढ़का हुआ था। घटना के बाद घायल युवक को अस्पताल ले जाने के लिए लोग वाहन की खोज कर रहे थे। इसी दौरान बखरी डीएसपी कुंदन कुमार लोगों की भीड़ देखकर रुके और जानकारी ली। इसके बाद तुरंत घटना स्थल पर पहुंचकर घायल मुमताज को बाडी गार्ड की मदद से अपनी गाड़ी में लेकर इलाज के लिए प्राथमिक स्वास्थ्य केंद्र बखरी लाया।जहां स्थिति की गंभीरता को देखते हुए प्राथमिक उपचार बाद बेहतर ईलाज के लिए बेगूसराय भेजा गया, जहां स्थिति गंभीर बनी हुई है। घटना के कारणों का खुलासा नहीं हो सका है। लेकिन बताया जा रहा है कि मुमताज परदेस में मजदूरी करता है और कुछ दिन पहले ही वह गांव आया था। गांव में उसका किसी लड़की से प्रेम-प्रसंग चल रहा है। जिसका लड़की के परिजनों ने विरोध किया था। लेकिन मुमताज कुछ मानने को तैयार नहीं था और इसी को लेकर गोली मार कर हत्या करने का प्रयास किया गया है। डीएसपी कुंदन कुमार ने बताया कि क्षेत्र भ्रमण के दौरान सोनमा चौक के समीप से गुजर रहे थे। इसी बीच घटना की जानकारी मिली, घायल को ईलाज के लिए भेजा गया है। सभी पहलुओं पर घटना की जांच और अपराधियों की गिरफ्तारी के लिए छापेमारी की जा रही है।",2024-08-02 16:39:33,https://images.bhaskarassets.com/thumb/1000x1000/web2images/521/2024/08/02/1000551580_1722610801.jpg,bhaskar_hindi,0.02834806744162719,0,1,11,1,2
6,Newsdata,https://www.bhaskar.com/local/bihar/patna/news/one-accused-arrested-in-overhead-wire-theft-case-in-fatuha-133420278.html,"फतुहा में ओवरहेड तार चोरी मामले में आरोपी गिरफ्तार:29 पीस तांबे का तार बरामद, झाड़ी में छिपाकर रखा था","फतुहा आरपीएफ ने रेलवे ट्रैक के पास ओवरहेड तार चोरी मामले में एक आरोपी को गिरफ्तार किया है। आरोपी की निशानदेही पर झाड़ी से 29 पीस तांबे का तार बरामद हुआ है। गिरोह के अन्य सदस्यों की तलाश की जा रही है। आरपीएफ पोस्ट प्रभारी विनोद कुमार विश्वकर्मा ने इसकी पुष्टि की है। तार को झाड़ी में छिपाकर रखा था उन्होंने बताया कि गुरुवार को सूचना मिली थी कि रेलवे ट्रैक के पास झाड़ी में चोरी का तार छिपाकर रखा गया है। शुक्रवार को कुछ लोग छिपाए गए तार को ले जाने की फिराक में थे। इनपुट के आधार पर एक टीम को मौके पर लगाया गया। जैसे ही एक युवक तार निकालने पहुंचा, उसे गिरफ्तार कर लिया। पूछताछ के दौरान आरोपी ने बताया कि इस घटना में कुछ और लोग शामिल है। जिसकी गिरफ्तारी के लिए आरपीएफ की टीम छापेमारी कर रही है। जानिए क्या है पूरा मामला? 20 जुलाई को पटना-झाझा रेल खंड पर फतुहा स्टेशन के पास से बेखौफ चोरों ने रेल लाइन के ऊपर 39 मीटर ओवरहेड तार को बांस की मदद से काट लिया था। इस वजह से करीब 2 घंटे तक अप और डाउन लाइन पर ट्रेन की आवाजाही बाधित रही थी। हैरानी की बात है यह है कि 25 हजार वोल्‍ट का करंट प्रभावित हो रहा था, इसके बाद भी चोरों ने तार काट लिया था। कड़ी मशक्कत के बाद टेक्निकल टीम ने लाइन को ठीक किया। इस दौरान बंका घाट स्टेशन पर स्पेशल ट्रेन 2 घंटे तक रूकी रही। सुबह चार बजे के करीब अप और डाउन लाइन पर परिचालन शुरू हुआ।",2024-08-02 16:36:14,https://images.bhaskarassets.com/thumb/1000x1000/web2images/521/2024/08/02/comp-104_1722617093.gif,bhaskar_hindi,0.02834806744162719,0,1,11,1,2
7,Newsdata,https://www.bhaskar.com/local/bihar/gaya/news/wall-collapsed-due-to-rain-in-gaya-women-dies-133420272.html,"गया में बारिश की वजह से गिरी दीवार:दबने से बुजुर्ग महिला की गई जान, मलबे से बरामद हुआ शव","गया जिले के बुनियादगंज थाना क्षेत्र अंतर्गत मानपुर पटवा टोली औद्योगिक क्षेत्र के बैजनाथ सहाय लेन में कारखाने की दीवार गिरने से एक महिला की मौत हो गई। बताया जा रहा है कि प्रकाश कारखाने की दीवार शाम के वक्त भरभरा कर गिर गई। खास बात यह कि दीवार गिरने के बाद महिला को दबने की जानकारी मुहल्ले व महिला के परिजनों को नहीं थी। लेकिन जब दीवार गिरने की सूचना पर थाने की पुलिस घटनास्थल पर पहुंची और संकीर्ण गली से मलवे हटवाने लगी तो मलबे के अंदर से बुजुर्ग महिला का शव बरामद हुआ। मृतका की पहचान बैजनाथ सहाय लेन की रहने वाली 50 वर्षीय किरण देवी (पति अनिल कुमार सिन्हा) के रूप में की गई। पोस्टमार्टम के लिए भेजा शव इधर घटना की जानकारी पाते ही थाना अध्यक्ष पवन कुमार,अंचलाधिकारी सुबोध कुमार, एसआई पद्माकर उपाध्याय, पीएसआई पार्वती कुमारी, एसआई रामव्यास सिंह दलबल के साथ पहुंचे और शव को कब्जे में लेकर पोस्टमार्टम के लिए अनुग्रह नारायण मगध मेडिकल अस्पताल भेज दिया। पटवा टोली के अंदर छोटी बड़ी कई सूती वस्त्र निर्माण एवं उसके जुड़े अन्य काम के कल कारखाने हैं। इसमें प्रकाश कारखाना भी है। बताया जा रहा है कि कारखाने की बाउंड्री जर्जर हो चुकी थी जो बारिश के कारण गिर गई।",2024-08-02 16:33:38,https://images.bhaskarassets.com/thumb/1000x1000/web2images/521/2024/08/02/1000699037_1722609836.jpg,bhaskar_hindi,0.02834806744162719,0,1,11,1,2
